"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Ledaig 42yo Old Dusgadh","9.48","0.27","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 40yo","9.27","0.29","12","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Greedy Angels (8yo and 10yo)","9.20","0.19","6","$$$$$+","SingleMalt-like","ABC","C","India","Malt"
"Highland Park 25yo","9.17","0.24","13","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 40yo","9.17","0.44","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Spectrum","9.16","0.22","8","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Laphroaig 25yo","9.16","0.30","15","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie TUN 1401 (all 8 batches)","9.15","0.29","15","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 30yo","9.15","0.41","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 25yo","9.14","0.26","9","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Yamazaki 18yo","9.14","0.21","20","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 49)","9.13","0.07","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Redbreast 21yo","9.13","0.31","14","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Aberlour A'Bunadh (Batch 33)","9.12","0.12","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Sherry Cask","9.12","0.34","14","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Sheep Dip Old Hebridean 1990 Blended Malt","9.12","0.21","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 37)","9.11","0.08","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Nikka Single Cask Coffey Malt 12yo","9.11","0.48","9","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 40)","9.10","0.15","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 18yo Albariza Pedro Ximenez Peated","9.10","0.21","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist PX Cask","9.10","0.13","3","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Highland Park 16yo Odin","9.09","0.25","7","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 18yo","9.08","0.22","23","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Yamazaki Sherry Cask (all vintages)","9.08","0.29","11","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Kilchoman Port Cask Matured","9.07","0.19","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 53)","9.06","0.05","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bowmore Springtide","9.06","0.77","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 1)","9.06","0.27","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 39)","9.04","0.23","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 2)","9.04","0.10","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 15yo Loki","9.04","0.23","15","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Benromach 10yo Cask Strength (100 proof)","9.03","0.15","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
