"Aberfeldy 12yo","8.18","0.32","18","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aberfeldy 16yo","8.46","0.20","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberfeldy 18yo","8.66","0.26","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberfeldy 21yo","8.78","0.20","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aberlour 10yo","8.28","0.34","14","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour 12yo Double Cask Matured","8.35","0.20","15","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Aberlour 12yo Non-Chill-Filtered","8.79","0.24","11","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Aberlour 16yo Double Cask Matured","8.71","0.18","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour 18yo","8.77","0.27","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh","8.95","0.16","23","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut 100 Peated","8.92","0.38","6","$$$$","SingleMalt-like","J","J","India","Malt"
"Amrut 6yo Virgin Oak Single Cask","9.09","0.24","3","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Bourbon Single Cask","8.73","0.30","12","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Double Cask","9.07","0.26","3","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Fusion","8.89","0.26","23","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Greedy Angels (8yo and 10yo)","9.20","0.19","6","$$$$$+","SingleMalt-like","ABC","C","India","Malt"
"Amrut Herald","8.91","0.15","6","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Indian Single Malt","8.44","0.46","14","$$$","SingleMalt-like","GH","G","India","Malt"
"Amrut Intermediate Sherry","8.96","0.39","17","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Amrut Kadhambam","8.92","0.28","12","$$$$","SingleMalt-like","ABC","C","India","Malt"
