"1792 Full Proof Bourbon","8.86","0.32","5","$$$","Bourbon-like","","","USA","Bourbon"
"1792 Port Finished Bourbon","8.46","0.11","4","$$$","Bourbon-like","","","USA","Bourbon"
"1792 Single Barrel Bourbon","8.60","0.38","4","$$$","Bourbon-like","","","USA","Bourbon"
"1792 Small Batch Bourbon","8.60","0.40","15","$$","Bourbon-like","","","USA","Bourbon"
"1792 Sweet Wheat Bourbon","8.66","0.21","7","$$$$","Bourbon-like","","","USA","Bourbon"
"2 Gingers Irish Whiskey","8.05","0.34","3","$$","Scotch-like","","","Ireland","Blend"
"66 Gilead Crimson Rye","8.32","0.47","6","$$","Rye-like","","","Canada","Blend"
"66 Gilead The Wild Oak","8.06","0.52","6","$$","Bourbon-like","","","Canada","Blend"
"8 Seconds","7.54","0.45","5","$$","Rye-like","","","Canada","Blend"
"Alberta Premium Dark Horse","8.61","0.37","15","$","Rye-like","","","Canada","Blend"
"Alberta Premium","8.24","0.56","11","$","Rye-like","","","Canada","Blend"
"Alberta Rye Dark Batch","8.68","0.23","8","$$","Rye-like","","","Canada","Blend"
"Alberta Springs 10yo","8.30","0.42","9","$","Rye-like","","","Canada","Blend"
"Amrut Rye","8.87","0.13","4","$$$$","Rye-like","","","India","Rye"
"Ancient Age 10yo Kentucky Straight Bourbon","8.60","0.39","5","$","Bourbon-like","","","USA","Bourbon"
"Ancient Age Kentucky Straight Bourbon","7.70","0.60","7","$","Bourbon-like","","","USA","Bourbon"
"Angel's Envy Bourbon (Port-finished)","8.46","0.45","13","$$$","Bourbon-like","","","USA","Bourbon"
"Angel's Envy Cask Strength","8.94","0.36","8","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Angel’s Envy Rye Whiskey (Rum-finished)","8.76","0.57","8","$$$$","Bourbon-like","","","USA","Bourbon"
"Bain's Cape Mountain Whisky","8.23","0.49","8","$$","Scotch-like","","","South Africa","Grain"
"Baker’s Kentucky Straight Bourbon 7yo","8.80","0.28","19","$$$","Bourbon-like","","","USA","Bourbon"
"Balcones Baby Blue","8.30","0.73","11","$$$$","Bourbon-like","","","USA","Whiskey"
"Ballantine's 17yo","8.79","0.34","14","$$$$","Scotch-like","","","Scotland","Blend"
"Ballantine's Finest","7.63","0.60","12","$","Scotch-like","","","Scotland","Blend"
"Bank Note 5yo Blended Scotch","8.28","0.58","4","$","Scotch-like","","","Scotland","Blend"
"Basil Hayden’s Kentucky Bourbon","8.37","0.25","15","$$$","Bourbon-like","","","USA","Bourbon"
"Bell's Original Scotch Whisky","7.59","0.75","7","$","Scotch-like","","","Scotland","Blend"
"Bernheim Original Straight Wheat 7yo Small Batch","8.46","0.54","18","$$","Bourbon-like","","","USA","Wheat"
"Bib & Tucker 6yo Bourbon","8.27","0.16","3","$$$","Bourbon-like","","","USA","Bourbon"
"Black Bottle (after 2013 re-launch)","7.90","0.51","11","$$","Scotch-like","","","Scotland","Blend"
"Black Bottle (pre-2013)","8.24","0.50","13","$$","Scotch-like","","","Scotland","Blend"
"Black Velvet 3yo","7.76","0.89","9","$","Rye-like","","","Canada","Blend"
"Black Velvet Deluxe","7.15","0.75","8","$","Rye-like","","","Canada","Blend"
"Black Velvet Reserve 8yo","7.27","0.64","3","$","Rye-like","","","Canada","Blend"
"Blanton's Gold Kentucky Straight Bourbon","8.70","0.41","14","$$$$","Bourbon-like","","","USA","Bourbon"
"Blanton's Single Barrel Bourbon","8.64","0.31","18","$$$","Bourbon-like","","","USA","Bourbon"
"Blanton's Special Reserve","8.23","0.28","5","$$$","Bourbon-like","","","USA","Bourbon"
"Blanton's Straight from the Barrel Bourbon","8.95","0.28","6","$$$$","Bourbon-like","","","USA","Bourbon"
"Booker's Rye","9.28","0.21","8","$$$$$+","Rye-like","","","USA","Rye"
"Booker's Small Batch Straight Bourbon","8.86","0.28","16","$$$","Bourbon-like","","","USA","Bourbon"
"Buffalo Trace Bourbon","8.58","0.41","19","$$","Bourbon-like","","","USA","Bourbon"
"Buffalo Trace Experimental Collection 12yo floor #1 (rye, 2014)","8.75","0.03","3","$$$$$","Bourbon-like","","","USA","Bourbon"
"Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)","9.07","0.23","5","$$$$$","Bourbon-like","","","USA","Bourbon"
"Bulleit 10yo","8.55","0.37","13","$$$","Bourbon-like","","","USA","Bourbon"
"Bulleit Bourbon","8.40","0.35","21","$$","Bourbon-like","","","USA","Bourbon"
"Bulleit Rye","8.29","0.64","16","$$","Rye-like","","","USA","Rye"
"Bushmills Original Blended","7.69","0.46","16","$$","Scotch-like","","","Ireland","Blend"
"Canada Gold","8.10","0.66","5","$","Rye-like","","","Canada","Blend"
"Canadian Club (Premium)","7.33","0.75","17","$","Rye-like","","","Canada","Blend"
"Canadian Club 100% Rye","8.34","0.42","14","$","Rye-like","","","Canada","Rye"
"Canadian Club 20yo","8.63","0.31","10","$$$","Rye-like","","","Canada","Blend"
"Canadian Club 30yo","9.02","0.19","6","$$$$$","Rye-like","","","Canada","Blend"
"Canadian Club Classic 12yo (Small Batch)","8.13","0.44","13","$","Rye-like","","","Canada","Blend"
"Canadian Club Reserve 10yo","8.38","0.61","9","$$","Rye-like","","","Canada","Blend"
"Canadian Club Reserve 9yo","8.03","0.45","5","$","Rye-like","","","Canada","Blend"
"Canadian Club Sherry Cask","8.22","0.60","8","$$","Rye-like","","","Canada","Blend"
"Canadian Mist Black Diamond","8.08","0.51","6","$","Rye-like","","","Canada","Blend"
"Canadian Mist","7.63","0.62","11","$","Rye-like","","","Canada","Blend"
"Canadian Rockies 21yo","8.99","0.29","7","$$$","Rye-like","","","Canada","Blend"
"Caribou Crossing Single Barrel","8.61","0.42","10","$$$$","Rye-like","","","Canada","Blend"
"Catto's Rare Old","8.12","0.74","5","$","Scotch-like","","","Scotland","Blend"
"Centennial 10yo","8.36","0.41","6","$","Rye-like","","","Canada","Blend"
"Century Reserve 21yo","8.74","0.20","10","$$","Rye-like","","","Canada","Blend"
"Century Reserve Lot 15/25","8.36","0.85","5","$","Rye-like","","","Canada","Blend"
"Chivas Regal 12yo","7.80","0.42","21","$$","Scotch-like","","","Scotland","Blend"
"Chivas Regal 18yo","8.24","0.53","14","$$$$","Scotch-like","","","Scotland","Blend"
"Chivas Regal 25yo","8.72","0.21","7","$$$$$+","Scotch-like","","","Scotland","Blend"
"Chivas Royal Salute 21yo","8.57","0.63","7","$$$$$","Scotch-like","","","Scotland","Blend"
"Collingwood 21yo","8.54","0.42","11","$$$","Rye-like","","","Canada","Blend"
"Collingwood","8.03","0.32","8","$$","Rye-like","","","Canada","Blend"
"Colonel E.H. Taylor Straight Rye","8.72","0.32","6","$$$$","Rye-like","","","USA","Rye"
"Colonel EH Taylor Barrel Proof","8.85","0.21","6","$$$$","Bourbon-like","","","USA","Bourbon"
"Colonel EH Taylor Single Barrel","8.95","0.31","6","$$$$","Bourbon-like","","","USA","Bourbon"
"Colonel EH Taylor Small Batch (BiB)","8.60","0.29","11","$$$$","Bourbon-like","","","USA","Bourbon"
"Compass Box Asyla","8.23","0.49","12","$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Great King St Artist's Blend","8.60","0.37","18","$$","Scotch-like","","","Scotland","Blend"
"Compass Box Great King St Glasgow Blend","8.58","0.25","11","$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism Quindecimus","8.92","0.42","7","$$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism","8.54","0.46","17","$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Orangerie","7.91","0.82","7","$$","Scotch-like","","","Scotland","Blend"
"Compass Box The Circus","8.94","0.29","4","$$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box The General","9.19","0.28","10","$$$$$+","Scotch-like","","","Scotland","Blend"
"Corner Creek Reserve Bourbon Whiskey","8.61","0.36","7","$$","Bourbon-like","","","USA","Bourbon"
"Coyote Ugly","8.10","0.50","5","$","Rye-like","","","Canada","Blend"
"Crown Royal Black","8.22","0.49","16","$$","Rye-like","","","Canada","Blend"
"Crown Royal Cornerstone Blend","8.36","0.80","4","$$$","Rye-like","","","Canada","Blend"
"Crown Royal Hand Selected Barrel","8.82","0.26","8","$$$","Rye-like","","","Canada","Blend"
"Crown Royal Limited Edition","8.29","0.19","10","$$","Rye-like","","","Canada","Blend"
"Crown Royal Monarch 75th Anniversary","8.76","0.48","9","$$$","Rye-like","","","Canada","Blend"
"Crown Royal Northern Harvest Rye","8.58","0.35","16","$$","Rye-like","","","Canada","Blend"
"Crown Royal Reserve","8.53","0.65","13","$$$","Rye-like","","","Canada","Blend"
"Crown Royal XO","8.72","0.30","5","$$$","Rye-like","","","Canada","Blend"
"Crown Royal","7.61","0.46","17","$","Rye-like","","","Canada","Blend"
"Cutty Sark Prohibition","8.53","0.47","11","$$","Scotch-like","","","Scotland","Blend"
"Cutty Sark Storm","8.05","0.50","8","$","Scotch-like","","","Scotland","Blend"
"Cutty Sark","7.52","0.46","14","$","Scotch-like","","","Scotland","Blend"
"Danfield's 21yo","8.61","0.54","12","$$","Rye-like","","","Canada","Blend"
"Dewar's 12yo","7.90","0.28","12","$$","Scotch-like","","","Scotland","Blend"
"Dewar's White Label","7.52","0.70","13","$$","Scotch-like","","","Scotland","Blend"
"Eagle Rare 10yo","8.58","0.33","21","$$","Bourbon-like","","","USA","Bourbon"
"Eagle Rare 17yo","8.83","0.35","12","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Elijah Craig 12yo","8.68","0.27","21","$$","Bourbon-like","","","USA","Bourbon"
"Elijah Craig 18yo","8.72","0.47","11","$$$$$","Bourbon-like","","","USA","Bourbon"
"Elijah Craig 21yo","9.19","0.17","5","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Elijah Craig Barrel Proof","8.87","0.23","9","$$$$","Bourbon-like","","","USA","Bourbon"
"Ellington Reserve 8yo","6.93","1.04","4","$","Rye-like","","","Canada","Blend"
"Elmer T. Lee Single Barrel Bourbon","8.72","0.40","12","$$$","Bourbon-like","","","USA","Bourbon"
"Evan Williams (Black Label)","8.19","0.40","14","$","Bourbon-like","","","USA","Bourbon"
